Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
12-April-2022,782.50,801.00,777.45,798.55,790.625325650045397099,219177,6052,173286887.00,58220,26.56,23.55,16.05
11-April-2022,790.00,794.00,784.00,785.40,789.154352855070380196,153026,6168,120761134.00,60071,39.26,10.00,-4.60
8-April-2022,794.00,800.65,789.30,794.90,794.891224322416982967,209716,7539,166701408.00,69962,33.36,11.35,0.90
7-April-2022,772.00,795.00,769.35,792.05,786.881446222054198958,232772,8079,183163968.00,75125,32.27,25.65,20.05
6-April-2022,775.50,779.80,769.25,773.60,774.515707318809625516,224736,10357,174061562.00,91956,40.92,10.55,-1.90
5-April-2022,778.00,796.00,777.30,783.50,785.499797567657095385,190187,6353,149391850.00,73363,38.57,18.70,5.50
4-April-2022,785.00,785.50,767.20,783.65,776.893235506148590055,382852,9905,297435129.00,80247,20.96,18.30,-1.35
1-April-2022,761.00,775.70,755.20,774.45,765.370416035666581788,223851,6459,171328933.00,53426,23.87,20.50,13.45
31-March-2022,763.90,763.90,751.40,760.65,757.825100531643823117,449361,12879,340537045.00,148944,33.15,12.50,-3.25
30-March-2022,744.40,765.80,741.20,750.20,754.580198431631616936,326964,8937,246720560.00,74372,22.75,24.60,5.80
29-March-2022,741.00,742.00,731.05,737.55,736.167597405880433333,217569,7655,160167248.00,79615,36.59,10.95,-3.45
28-March-2022,723.80,737.75,715.20,736.25,725.824914125117102113,192140,6252,139459999.00,67658,35.21,22.55,12.45
25-March-2022,727.00,727.00,715.80,720.90,719.846536012767929158,116542,5432,83892355.00,51424,44.12,11.20,-6.10
24-March-2022,720.00,730.25,719.00,722.20,723.913855072463768115,163875,6738,118631383.00,43967,26.83,11.25,2.20
23-March-2022,733.15,743.05,725.00,726.65,732.226404091361395876,216065,7473,158208498.00,57111,26.43,18.05,-6.50
22-March-2022,725.00,736.75,706.20,732.10,720.110943146716197936,396248,13826,285342521.00,112031,28.27,30.55,7.10
21-March-2022,744.00,749.30,723.65,726.40,732.313209657293451866,193139,8766,141438241.00,62981,32.61,25.65,-17.60
17-March-2022,735.00,746.50,735.00,739.40,741.395678741941336023,225999,8093,167554682.00,64768,28.66,11.50,4.40
16-March-2022,705.50,725.80,705.50,723.70,721.559515921961858543,460339,14836,332161986.00,189048,41.07,20.30,18.20
15-March-2022,713.50,717.90,695.10,698.20,707.656802213086568022,389682,13385,275761118.00,145764,37.41,22.80,-15.30
14-March-2022,692.25,712.25,685.30,710.10,701.250565967035998105,384298,12556,269489190.00,151386,39.39,26.95,17.85
11-March-2022,691.30,706.50,687.55,690.90,696.522699043855919840,239922,8078,167111119.00,45654,19.03,18.95,-0.40
10-March-2022,705.00,720.30,688.70,694.80,705.352986036564389716,723819,26938,510547893.00,254830,35.21,31.60,-10.20
9-March-2022,675.50,680.50,659.20,674.30,670.141090727697998732,689613,20407,462138008.00,325265,47.17,21.30,-1.20
8-March-2022,667.00,672.85,637.00,669.60,655.677147238254437285,759755,21014,498153991.00,166729,21.95,35.85,2.60
7-March-2022,695.90,704.70,655.60,667.25,673.374502123986085113,935976,47012,630262373.00,283398,30.28,49.10,-28.65
4-March-2022,725.00,732.50,710.10,715.15,719.741497430878394910,400526,16728,288275183.00,96751,24.16,22.40,-9.85
3-March-2022,758.90,759.05,732.50,737.80,741.544129548882098965,280481,7325,207989039.00,42347,15.10,26.55,-21.10
2-March-2022,734.00,756.40,725.90,750.25,737.312399134704529066,349476,11834,257672988.00,140339,40.16,30.50,16.25
28-February-2022,748.05,749.30,736.30,742.60,742.330500506032917261,278638,10781,206841486.00,79957,28.70,13.00,-5.45
25-February-2022,745.00,764.70,739.20,758.15,755.894489322364094355,241767,12203,182750343.00,87295,36.11,25.50,13.15
24-February-2022,749.00,768.25,725.15,730.65,750.345648051356277474,596928,21476,447902327.00,329819,55.25,43.10,-18.35
23-February-2022,784.50,785.50,772.30,777.20,778.840991072767599908,126691,5715,98672144.00,50108,39.55,13.20,-7.30
22-February-2022,760.00,786.85,760.00,779.25,779.040914482907365469,139095,5673,108360696.00,53667,38.58,26.85,19.25
21-February-2022,784.00,796.75,776.50,788.70,788.083173696205040129,121108,4849,95443177.00,34481,28.47,20.25,4.70
18-February-2022,777.25,790.25,777.25,787.30,785.510671496238506547,143560,5584,112767912.00,54154,37.72,13.00,10.05
17-February-2022,798.50,801.90,780.55,782.85,787.643022116461366181,228608,7930,180061496.00,74060,32.40,21.35,-15.65
16-February-2022,793.00,808.00,789.00,797.15,799.109669876688789111,198441,8376,158576122.00,64109,32.31,19.00,4.15
15-February-2022,790.00,798.70,764.50,796.55,779.655998979982149687,172546,7017,134526524.00,51192,29.67,34.20,6.55
14-February-2022,790.00,802.00,770.25,773.25,782.378540839065981978,258025,8501,201873223.00,79857,30.95,31.75,-16.75
11-February-2022,800.40,809.95,798.65,803.00,804.769063583520293697,156896,6055,126265047.00,55505,35.38,11.30,2.60
10-February-2022,808.90,815.90,803.55,809.65,809.895381217951117266,267170,8321,216379749.00,111687,41.80,12.35,0.75
9-February-2022,801.00,809.50,800.95,803.75,805.234996604494701432,253276,11541,203946699.00,86511,34.16,8.55,2.75
8-February-2022,794.50,800.85,776.05,798.50,790.888123513200111873,318217,13932,251674046.00,168874,53.07,24.80,4.00
7-February-2022,802.00,803.50,784.45,789.50,794.223309219273689621,235409,9253,186967315.00,113826,48.35,19.05,-12.50
4-February-2022,799.00,804.50,790.65,798.30,797.608494787789611495,345247,13785,275371940.00,158346,45.86,13.85,-0.70
3-February-2022,803.70,811.75,793.10,799.75,805.682744537206026922,460799,13509,371257803.00,264252,57.35,18.65,-3.95
2-February-2022,788.50,805.90,787.75,803.95,800.717593310132022036,283892,8268,227317319.00,91348,32.18,18.15,15.45
1-February-2022,777.00,793.60,769.00,781.05,785.534780396503788773,550310,21842,432287645.00,286143,52.00,24.60,4.05
31-January-2022,770.50,777.90,762.60,773.10,772.377864225521228642,409753,13229,316484147.00,142922,34.88,15.30,2.60
28-January-2022,778.35,784.80,761.80,764.75,774.637718337319852867,398008,11758,308312009.00,122453,30.77,23.00,-13.60
